,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
144314,25,Sinaloa,0,Total de la entidad Sinaloa,3026943,1532128,1494815,,
144315,25,Sinaloa,9998,Total de la entidad Sinaloa,20358,8853,11505,,
144316,25,Sinaloa,9999,Total de la entidad Sinaloa,6701,2062,4639,,
144317,25,Sinaloa,0,Ahome,459310,233994,225316,,
144318,25,Sinaloa,1,Ahome,298009,154344,143665,"25°47'00.301"" N","108°59'39.634"" W"
144319,25,Sinaloa,67,Ahome,2397,1207,1190,"25°57'32.339"" N","109°19'40.745"" W"
144320,25,Sinaloa,68,Ahome,582,295,287,"25°53'03.475"" N","109°05'33.996"" W"
144321,25,Sinaloa,70,Ahome,11851,5973,5878,"25°55'13.979"" N","109°10'28.912"" W"
144322,25,Sinaloa,72,Ahome,472,230,242,"25°58'17.191"" N","109°16'59.410"" W"
144323,25,Sinaloa,76,Ahome,278,135,143,"25°56'46.236"" N","109°04'46.217"" W"
144324,25,Sinaloa,80,Ahome,667,337,330,"25°54'30.841"" N","109°01'02.959"" W"
144325,25,Sinaloa,81,Ahome,2049,976,1073,"26°19'03.119"" N","109°05'08.084"" W"
144326,25,Sinaloa,82,Ahome,955,473,482,"25°45'32.617"" N","109°11'22.996"" W"
144327,25,Sinaloa,83,Ahome,5039,2483,2556,"25°52'38.711"" N","109°07'08.852"" W"
144328,25,Sinaloa,88,Ahome,1466,698,768,"25°46'27.322"" N","109°01'59.545"" W"
144329,25,Sinaloa,90,Ahome,1586,775,811,"25°58'34.159"" N","109°15'04.159"" W"
144330,25,Sinaloa,95,Ahome,670,340,330,"25°52'59.498"" N","109°17'27.541"" W"
144331,25,Sinaloa,101,Ahome,3,*,*,"25°50'03.855"" N","109°11'32.917"" W"
144332,25,Sinaloa,115,Ahome,2662,1336,1326,"25°52'39.180"" N","108°54'06.820"" W"
144333,25,Sinaloa,118,Ahome,2629,1265,1364,"25°56'33.284"" N","109°09'35.390"" W"
144334,25,Sinaloa,119,Ahome,2982,1440,1542,"25°45'35.548"" N","109°18'56.957"" W"
144335,25,Sinaloa,120,Ahome,4229,2091,2138,"25°50'23.962"" N","109°01'01.584"" W"
144336,25,Sinaloa,122,Ahome,552,261,291,"25°52'35.647"" N","109°06'38.985"" W"
144337,25,Sinaloa,125,Ahome,1,*,*,"25°54'22.299"" N","109°16'59.203"" W"
144338,25,Sinaloa,126,Ahome,1917,983,934,"26°09'28.961"" N","109°03'11.458"" W"
144339,25,Sinaloa,128,Ahome,1430,693,737,"25°59'44.408"" N","109°16'24.371"" W"
144340,25,Sinaloa,129,Ahome,897,453,444,"25°51'29.031"" N","109°05'03.687"" W"
144341,25,Sinaloa,131,Ahome,376,184,192,"26°20'41.941"" N","109°01'10.886"" W"
144342,25,Sinaloa,132,Ahome,558,277,281,"26°22'27.509"" N","109°00'38.530"" W"
144343,25,Sinaloa,136,Ahome,4243,2128,2115,"25°45'54.266"" N","108°49'57.521"" W"
144344,25,Sinaloa,138,Ahome,1394,669,725,"25°52'05.966"" N","109°02'26.931"" W"
144345,25,Sinaloa,139,Ahome,1547,780,767,"25°52'10.697"" N","109°00'28.832"" W"
144346,25,Sinaloa,142,Ahome,1589,789,800,"25°52'58.983"" N","109°00'35.221"" W"
144347,25,Sinaloa,143,Ahome,2096,1086,1010,"26°20'09.710"" N","109°01'34.966"" W"
144348,25,Sinaloa,146,Ahome,1758,881,877,"25°52'24.633"" N","109°02'37.329"" W"
144349,25,Sinaloa,147,Ahome,772,383,389,"25°57'16.530"" N","109°04'43.149"" W"
144350,25,Sinaloa,148,Ahome,1144,550,594,"25°52'45.075"" N","109°20'16.120"" W"
144351,25,Sinaloa,149,Ahome,2688,1322,1366,"25°51'24.080"" N","109°19'36.389"" W"
144352,25,Sinaloa,150,Ahome,436,209,227,"26°03'41.057"" N","109°14'50.736"" W"
144353,25,Sinaloa,156,Ahome,4850,2524,2326,"26°16'12.083"" N","109°02'10.765"" W"
144354,25,Sinaloa,160,Ahome,9464,4700,4764,"25°57'58.544"" N","109°17'48.239"" W"
144355,25,Sinaloa,163,Ahome,554,244,310,"25°57'26.677"" N","109°12'47.006"" W"
144356,25,Sinaloa,165,Ahome,26,13,13,"25°45'57.007"" N","108°55'49.610"" W"
144357,25,Sinaloa,166,Ahome,1276,626,650,"26°12'53.096"" N","109°15'54.929"" W"
144358,25,Sinaloa,169,Ahome,68,24,44,"26°05'49.144"" N","109°22'25.785"" W"
144359,25,Sinaloa,174,Ahome,867,449,418,"25°48'10.444"" N","109°03'47.976"" W"
144360,25,Sinaloa,175,Ahome,1190,583,607,"25°53'07.098"" N","109°09'00.006"" W"
144361,25,Sinaloa,176,Ahome,161,81,80,"26°19'40.724"" N","108°56'57.869"" W"
144362,25,Sinaloa,178,Ahome,1747,865,882,"25°56'19.410"" N","109°13'22.261"" W"
144363,25,Sinaloa,183,Ahome,2984,1534,1450,"25°49'37.288"" N","109°02'58.551"" W"
144364,25,Sinaloa,186,Ahome,362,183,179,"26°19'42.386"" N","108°56'27.634"" W"
144365,25,Sinaloa,189,Ahome,1974,968,1006,"25°45'06.409"" N","109°01'42.325"" W"
144366,25,Sinaloa,193,Ahome,2205,1068,1137,"25°43'01.269"" N","108°58'46.738"" W"
144367,25,Sinaloa,197,Ahome,1447,721,726,"25°46'07.739"" N","109°02'27.208"" W"
144368,25,Sinaloa,198,Ahome,338,147,191,"25°41'30.607"" N","109°05'50.727"" W"
144369,25,Sinaloa,199,Ahome,664,339,325,"25°46'21.904"" N","109°03'44.989"" W"
144370,25,Sinaloa,201,Ahome,841,410,431,"25°55'53.812"" N","109°05'48.479"" W"
144371,25,Sinaloa,205,Ahome,3767,1827,1940,"25°44'28.388"" N","108°55'56.763"" W"
144372,25,Sinaloa,210,Ahome,212,109,103,"25°57'02.182"" N","109°17'02.287"" W"
144373,25,Sinaloa,211,Ahome,1,*,*,"25°51'56.814"" N","109°15'35.178"" W"
144374,25,Sinaloa,212,Ahome,1208,612,596,"25°59'43.518"" N","109°17'57.007"" W"
144375,25,Sinaloa,214,Ahome,603,317,286,"26°18'34.980"" N","108°56'33.489"" W"
144376,25,Sinaloa,215,Ahome,1845,932,913,"25°44'21.251"" N","108°59'51.431"" W"
144377,25,Sinaloa,225,Ahome,755,387,368,"25°57'05.328"" N","109°17'55.827"" W"
144378,25,Sinaloa,226,Ahome,26,12,14,"25°55'59.947"" N","109°06'36.025"" W"
144379,25,Sinaloa,227,Ahome,6253,3183,3070,"25°56'48.442"" N","109°02'58.829"" W"
144380,25,Sinaloa,228,Ahome,778,349,429,"26°03'08.181"" N","109°16'36.340"" W"
144381,25,Sinaloa,231,Ahome,364,164,200,"26°22'36.163"" N","108°58'46.045"" W"
144382,25,Sinaloa,234,Ahome,656,359,297,"25°57'02.182"" N","109°11'42.631"" W"
144383,25,Sinaloa,240,Ahome,6198,3085,3113,"25°35'55.274"" N","109°02'58.291"" W"
144384,25,Sinaloa,243,Ahome,438,225,213,"26°06'39.890"" N","109°10'29.952"" W"
144385,25,Sinaloa,245,Ahome,318,156,162,"25°58'11.500"" N","109°13'51.689"" W"
144386,25,Sinaloa,248,Ahome,1153,569,584,"25°52'56.819"" N","109°04'29.925"" W"
144387,25,Sinaloa,252,Ahome,1553,778,775,"25°55'44.720"" N","108°59'48.704"" W"
144388,25,Sinaloa,253,Ahome,233,113,120,"26°17'56.740"" N","109°01'47.369"" W"
144389,25,Sinaloa,259,Ahome,9,*,*,"25°47'19.402"" N","108°53'59.660"" W"
144390,25,Sinaloa,280,Ahome,3,*,*,"25°47'41.457"" N","108°54'15.975"" W"
144391,25,Sinaloa,284,Ahome,20,10,10,"26°07'16.830"" N","109°02'31.175"" W"
144392,25,Sinaloa,285,Ahome,253,115,138,"25°48'25.870"" N","109°14'57.710"" W"
144393,25,Sinaloa,303,Ahome,104,44,60,"25°53'47.017"" N","109°08'24.382"" W"
144394,25,Sinaloa,306,Ahome,183,96,87,"25°57'26.566"" N","109°05'32.971"" W"
144395,25,Sinaloa,317,Ahome,4,*,*,"25°41'28.444"" N","109°02'57.042"" W"
144396,25,Sinaloa,349,Ahome,942,457,485,"25°39'58.979"" N","108°59'20.760"" W"
144397,25,Sinaloa,356,Ahome,2295,1135,1160,"26°13'25.851"" N","109°03'40.861"" W"
144398,25,Sinaloa,357,Ahome,1364,701,663,"26°06'44.697"" N","109°01'47.264"" W"
144399,25,Sinaloa,359,Ahome,12,5,7,"25°50'42.000"" N","109°04'05.500"" W"
144400,25,Sinaloa,370,Ahome,702,364,338,"25°38'06.565"" N","109°03'12.455"" W"
144401,25,Sinaloa,384,Ahome,1402,692,710,"25°58'49.597"" N","109°06'43.131"" W"
144402,25,Sinaloa,385,Ahome,15,6,9,"25°55'52.051"" N","109°07'10.583"" W"
144403,25,Sinaloa,392,Ahome,143,73,70,"25°53'34.320"" N","109°01'21.992"" W"
144404,25,Sinaloa,393,Ahome,7,*,*,"25°54'59.969"" N","109°02'36.107"" W"
144405,25,Sinaloa,396,Ahome,3354,1719,1635,"26°03'51.062"" N","109°01'12.101"" W"
144406,25,Sinaloa,398,Ahome,120,64,56,"26°03'45.006"" N","109°21'05.850"" W"
144407,25,Sinaloa,401,Ahome,117,55,62,"26°21'38.944"" N","109°00'51.204"" W"
144408,25,Sinaloa,402,Ahome,75,33,42,"26°20'26.010"" N","108°59'32.346"" W"
144409,25,Sinaloa,407,Ahome,1279,629,650,"25°44'19.191"" N","109°08'51.684"" W"
144410,25,Sinaloa,414,Ahome,605,316,289,"26°06'10.746"" N","109°11'29.287"" W"
144411,25,Sinaloa,416,Ahome,22,13,9,"26°04'18.733"" N","109°13'47.838"" W"
144412,25,Sinaloa,425,Ahome,17,10,7,"25°51'54.980"" N","108°59'52.220"" W"
